,title,link,view,upload_date,video_pk
0,"리뷰만 13,000개 넘게 달린 연남동 맛집",https://www.youtube.com/shorts/3_UzuQpIiKU,9.2천회,3개월 전,3_UzuQpIiKU
1,맛잘알 구독자들이 알려준 홍대 맛집 투어,https://www.youtube.com/shorts/rz0QQn6BN08,48만회,5개월 전,rz0QQn6BN08
2,연남동 맛집 TOP5,https://www.youtube.com/shorts/457eyDz5zzM,351회,11일 전,457eyDz5zzM
3,[Day +257] 연남동 숨겨진 프토 맛집 발견!✨,https://www.youtube.com/shorts/elfi4eEJsto,4.7만회,2주 전,elfi4eEJsto
4,연남동 맛집 로야토야 오마카세 점심 후기,https://www.youtube.com/shorts/wBMUteVydaA,457회,1년 전,wBMUteVydaA
5,홍대 맛집 찾지마세요 #연남타코 #연남동 #연남동맛집 #홍대맛집 #홍대 #홍대술집 #홍대데이트 #타코 #타코맛집 #파히타 #대창 #대창맛집 #대창먹방 #맛집 #맛집추천 #맛집소개,https://www.youtube.com/shorts/vDafHBx84A4,3.2천회,1개월 전,vDafHBx84A4
6,함박스테이크에 진심인곳 #연남동맛집 #저메추 #점메추 #함박스테이크 #연남다저스,https://www.youtube.com/shorts/gW84EinqzUI,2.4천회,1년 전,gW84EinqzUI
7,#유메오뎅 #유메오뎅연남점 #연남동맛집 #연남맛집 #야장맛집 #맛집추천 #연남핫플 #연남동데이트 #홍대맛집 #연남동술집 #먹중사 #koreafood,https://www.youtube.com/shorts/IVnQdQL4S4g,1.4만회,3주 전,IVnQdQL4S4g
8,연남동 명당💓💓 #연남동 #연남동맛집 #홍대 #홍대맛집 #야장 #서울야장 #데이트코스 #서울데이트 … 위치는 연남동 크래프트한스 입니다-!!,https://www.youtube.com/shorts/N8R41kGG3Iw,208회,1개월 전,N8R41kGG3Iw
9,"연남동 줄서서먹는 맛집 연하동 연어국수, 꼬꼬동 #shorts #연남동맛집 #연어국수 #연남동 #홍대맛집",https://www.youtube.com/shorts/zKdiwuUuVh0,1만회,1년 전,zKdiwuUuVh0
10,#연남동맛집 #홍대맛집 #타코 연남동 최애 음식점,https://www.youtube.com/shorts/A5qqTBZA_iY,29만회,1개월 전,A5qqTBZA_iY
11,연남동맛집 :: 열정타코,https://www.youtube.com/shorts/i0swSVhpt2g,394회,1년 전,i0swSVhpt2g
12,두 그릇 같은 한 그릇이 나오는 연남동 맛집,https://www.youtube.com/shorts/U3vzacL7tyI,7.6만회,1개월 전,U3vzacL7tyI
13,연남동 맛집 다인,https://www.youtube.com/shorts/bDT1WPg5UYw,1.5천회,1년 전,bDT1WPg5UYw
14,연남동 맛집 로야토야 오마카세 점심 후기,https://www.youtube.com/shorts/wBMUteVydaA,457회,1년 전,wBMUteVydaA
15,연남동맛집 후기,https://www.youtube.com/shorts/hMNw5alcXK4,1.2천회,1년 전,hMNw5alcXK4
16,국숯집 #점심#연남동#국숯집#최고다 #홍대맛집 #연남동맛집,https://www.youtube.com/shorts/85njaxMqpEs,1.4천회,11개월 전,85njaxMqpEs
17,연남동 맛집 TOP5,https://www.youtube.com/shorts/457eyDz5zzM,351회,11일 전,457eyDz5zzM
18,연남동 맛집,https://www.youtube.com/shorts/CFgLuRWrvV8,809회,1년 전,CFgLuRWrvV8
19,#연남동맛집#foodie#foodlover#서울맛집#koreatravel#서울여행,https://www.youtube.com/shorts/K0TEnmMxCcE,425회,11개월 전,K0TEnmMxCcE
20,#연남동#연남동맛집#홍대맛집,https://www.youtube.com/shorts/DV3HrlToHYQ,278회,2년 전,DV3HrlToHYQ
21,도전 가능한 사람?! #떡도리탕 #떡볶이 #홍대맛집 #연남동맛집 #떡볶이상회,https://www.youtube.com/shorts/p7HblVLG_Sc,2.9만회,2개월 전,p7HblVLG_Sc
22,연남동 맛집,https://www.youtube.com/shorts/TvoO_Fu8NhY,230회,1년 전,TvoO_Fu8NhY
23,[15초가이드] 연남동 맛집 le petit four #lepetitfour,https://www.youtube.com/shorts/_HKq_muZjms,358회,1년 전,_HKq_muZjms
24,로컬 연남인의 연남동 맛집투어_작은마을밥집,https://www.youtube.com/shorts/hSGW9cCWit0,310회,1년 전,hSGW9cCWit0
25,"연남동 줄서서먹는 맛집 연하동 연어국수, 꼬꼬동 #shorts #연남동맛집 #연어국수 #연남동 #홍대맛집",https://www.youtube.com/shorts/zKdiwuUuVh0,1만회,1년 전,zKdiwuUuVh0
26,[Day +257] 연남동 숨겨진 프토 맛집 발견!✨,https://www.youtube.com/shorts/elfi4eEJsto,4.7만회,2주 전,elfi4eEJsto
27,분위기 갑!! 연남동 꼬요식당!! #분위기 #연남 #연남동데이트 #연남동 #연남동맛집 #연남동브이로그,https://www.youtube.com/shorts/dDJzSr_lCe0,1.4천회,1년 전,dDJzSr_lCe0
28,연남동 맛집 월순철판동태찜. 양념이 미친놈 예약 꼭 하고 가세요.,https://www.youtube.com/shorts/ktnN0jzkl0g,1.6천회,1년 전,ktnN0jzkl0g
